"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Navigation","Test Cases Page","0","0","1","0","0"
"","API Authentication","Login Verification","0","0","2","0","0"
"","Account Management","Account Lifecycle","0","0","1","0","0"
"","Products","Add to Cart","0","0","1","0","0"
"","Products","Product Listing","0","0","1","0","0"
"","Products API","Product Listing","0","0","1","0","0"
"","Products","Product Search","1","0","0","0","0"
"","Registration","Duplicate Registration","0","0","1","0","0"
"","Checkout","Login Before Checkout","0","0","1","0","0"
"","Authentication","Login","0","0","2","0","0"
"","API Authentication","Account Lifecycle","0","0","1","0","0"
"","Contact Us","Contact Us","0","0","1","0","0"
"","Registration","New User Registration","0","0","1","0","0"
"","Authentication","Logout","0","0","1","0","0"
"","Checkout","Register Before Checkout","0","0","1","0","0"
